date,time,open,maximum,minimum,close,volume
14.10.2013,22:15,0.91007,0.91021,0.90991,0.91012,219
14.10.2013,22:30,0.91009,0.91036,0.91007,0.91017,189
14.10.2013,22:45,0.91017,0.91038,0.90999,0.91016,149
14.10.2013,23:00,0.91016,0.91048,0.9101,0.91019,154
14.10.2013,23:15,0.9102,0.91028,0.91003,0.91015,257
14.10.2013,23:30,0.91017,0.91043,0.91,0.91036,270
14.10.2013,23:45,0.91036,0.91041,0.91021,0.91034,170
15.10.2013,0:00,0.91044,0.91084,0.91036,0.91064,232
15.10.2013,0:15,0.9107,0.91082,0.91062,0.91066,153
15.10.2013,0:30,0.91066,0.91102,0.91055,0.91087,188
15.10.2013,0:45,0.91087,0.91138,0.91086,0.91126,227
15.10.2013,1:00,0.91126,0.91134,0.91117,0.91124,128
15.10.2013,1:15,0.91124,0.91141,0.91124,0.91138,97
15.10.2013,1:30,0.91136,0.91138,0.91121,0.91127,160
15.10.2013,1:45,0.91127,0.91134,0.91117,0.91126,154
15.10.2013,2:00,0.91127,0.91139,0.91097,0.91138,326
15.10.2013,2:15,0.91137,0.91143,0.91111,0.91116,216
15.10.2013,2:30,0.91115,0.91136,0.91113,0.91136,272
15.10.2013,2:45,0.9114,0.91152,0.91127,0.91129,206
15.10.2013,3:00,0.91129,0.91132,0.91088,0.91098,268
15.10.2013,3:15,0.91098,0.91106,0.91069,0.91078,184
15.10.2013,3:30,0.91079,0.91101,0.91079,0.91091,230
15.10.2013,3:45,0.91091,0.91091,0.91061,0.91064,148
15.10.2013,4:00,0.91064,0.91088,0.91064,0.91086,209
15.10.2013,4:15,0.91087,0.91087,0.91071,0.91072,147
15.10.2013,4:30,0.91071,0.91086,0.91069,0.91082,149
15.10.2013,4:45,0.91082,0.91086,0.91077,0.91079,113
15.10.2013,5:00,0.91081,0.91082,0.91069,0.91073,166
15.10.2013,5:15,0.91073,0.91074,0.91035,0.9104,190
15.10.2013,5:30,0.9104,0.91048,0.91029,0.91048,191
15.10.2013,5:45,0.91048,0.91062,0.91039,0.91046,241
15.10.2013,6:00,0.91046,0.91049,0.91029,0.91035,181
15.10.2013,6:15,0.91034,0.91039,0.91019,0.9102,116
15.10.2013,6:30,0.91019,0.91038,0.9101,0.91013,230
15.10.2013,6:45,0.91015,0.91022,0.91002,0.91016,171
15.10.2013,7:00,0.91014,0.91026,0.9101,0.91011,182
15.10.2013,7:15,0.9101,0.91011,0.90987,0.91003,148
15.10.2013,7:30,0.91006,0.91009,0.9099,0.91005,212
15.10.2013,7:45,0.91003,0.91006,0.90981,0.90998,240
15.10.2013,8:00,0.90999,0.9101,0.90989,0.91005,223
15.10.2013,8:15,0.91007,0.91019,0.90987,0.9099,280
15.10.2013,8:30,0.90987,0.90999,0.90971,0.90995,236
15.10.2013,8:45,0.91,0.91001,0.90944,0.90944,280
15.10.2013,9:00,0.90944,0.91016,0.90944,0.90996,534
15.10.2013,9:15,0.90997,0.91028,0.90925,0.90933,430
15.10.2013,9:30,0.90935,0.90986,0.90927,0.90986,281
15.10.2013,9:45,0.90984,0.91042,0.90975,0.9101,369
15.10.2013,10:00,0.91008,0.91008,0.90963,0.90984,372
15.10.2013,10:15,0.90984,0.91009,0.90941,0.90941,387
15.10.2013,10:30,0.90938,0.91045,0.90938,0.91045,468
15.10.2013,10:45,0.91049,0.91183,0.91049,0.91177,533
15.10.2013,11:00,0.9118,0.91418,0.91128,0.91389,887
15.10.2013,11:15,0.91394,0.91518,0.91394,0.91506,734
15.10.2013,11:30,0.91506,0.91582,0.91485,0.91516,639
15.10.2013,11:45,0.91515,0.91535,0.9149,0.91526,524
15.10.2013,12:00,0.91529,0.91673,0.91507,0.91608,715
15.10.2013,12:15,0.91608,0.91649,0.91603,0.9163,451
15.10.2013,12:30,0.91633,0.91762,0.91612,0.91748,662
15.10.2013,12:45,0.91747,0.91778,0.91633,0.91638,708
15.10.2013,13:00,0.9164,0.91702,0.91635,0.91699,441
15.10.2013,13:15,0.91703,0.91704,0.91622,0.91634,484
15.10.2013,13:30,0.91631,0.91651,0.91611,0.91631,461
15.10.2013,13:45,0.91629,0.91639,0.91599,0.91601,450
15.10.2013,14:00,0.91601,0.9165,0.91581,0.91604,416
15.10.2013,14:15,0.91606,0.91633,0.91596,0.91596,400
15.10.2013,14:30,0.91596,0.91652,0.91581,0.91626,493
15.10.2013,14:45,0.91626,0.9165,0.9159,0.91591,431
15.10.2013,15:00,0.91589,0.91651,0.9157,0.9165,441
15.10.2013,15:15,0.91653,0.9167,0.91527,0.91598,724
15.10.2013,15:30,0.91596,0.91632,0.91428,0.91445,796
15.10.2013,15:45,0.91444,0.91548,0.91444,0.91548,638
15.10.2013,16:00,0.91548,0.91606,0.91548,0.9158,709
15.10.2013,16:15,0.91581,0.91642,0.91577,0.91608,618
15.10.2013,16:30,0.91608,0.91612,0.91544,0.91557,494
15.10.2013,16:45,0.91555,0.91561,0.91472,0.9149,552
15.10.2013,17:00,0.91485,0.91569,0.91425,0.9154,741
15.10.2013,17:15,0.91539,0.91651,0.91509,0.91648,616
15.10.2013,17:30,0.91647,0.91659,0.91476,0.91484,622
15.10.2013,17:45,0.91484,0.91539,0.91447,0.91528,580
15.10.2013,18:00,0.91527,0.91534,0.91463,0.91498,588
15.10.2013,18:15,0.91497,0.91511,0.91456,0.91474,406
15.10.2013,18:30,0.91475,0.91513,0.91466,0.91471,369
15.10.2013,18:45,0.91471,0.91511,0.91459,0.91511,338
15.10.2013,19:00,0.9151,0.91544,0.91501,0.91542,293
15.10.2013,19:15,0.91541,0.91587,0.91536,0.9156,271
15.10.2013,19:30,0.91559,0.91559,0.9151,0.91531,270
