1.59953,1.59991,1.59864,1.59936,1.35181,1.35279,1.35118,1.35213,0.95219,0.9522,0.95021,0.9508,0.8368,0.8368,0.83588,0.8361,1.03803,1.0391,1.03801,1.03856,0.91339,0.91384,0.91228,0.91303,98.314,98.342,98.192,98.262,1.35191
1.59936,1.59993,1.59921,1.59943,1.35213,1.35303,1.35189,1.35191,0.95078,0.95079,0.94988,0.95068,0.83611,0.8367,0.83584,0.83662,1.03855,1.03907,1.03777,1.03778,0.91302,0.91305,0.91204,0.91303,98.263,98.317,98.164,98.315,1.35169
1.5994,1.59957,1.59899,1.59936,1.35188,1.35208,1.35154,1.35169,0.95066,0.95124,0.95028,0.951,0.83661,0.83685,0.83632,0.83673,1.03781,1.03808,1.03769,1.03786,0.91305,0.91369,0.91284,0.9135,98.314,98.424,98.295,98.383,1.35164
1.59936,1.59962,1.59918,1.59944,1.35172,1.35196,1.35162,1.35164,0.95098,0.9514,0.95093,0.95111,0.83674,0.83683,0.8363,0.83667,1.03785,1.03793,1.03769,1.03777,0.91348,0.91353,0.91316,0.91353,98.382,98.423,98.355,98.391,1.35203
1.59944,1.59973,1.59938,1.59955,1.35162,1.35212,1.35154,1.35203,0.95112,0.95131,0.95074,0.95093,0.83668,0.83703,0.83652,0.83692,1.03775,1.03794,1.03775,1.03792,0.91352,0.91355,0.91266,0.91279,98.392,98.404,98.29,98.304,1.35144
1.59954,1.59962,1.59908,1.59912,1.35204,1.35215,1.35141,1.35144,0.95094,0.95121,0.95093,0.95112,0.83693,0.83716,0.8368,0.837,1.03792,1.03801,1.03761,1.03801,0.91279,0.91335,0.91267,0.91335,98.299,98.352,98.291,98.307,1.35149
1.59913,1.5994,1.59908,1.59916,1.35145,1.35173,1.35144,1.35149,0.95108,0.95148,0.95093,0.9514,0.83699,0.8371,0.83669,0.83703,1.03803,1.03811,1.03777,1.03792,0.91333,0.9134,0.91318,0.91329,98.307,98.346,98.305,98.335,1.35147
1.59915,1.59915,1.59867,1.59877,1.35148,1.35169,1.35141,1.35147,0.95137,0.95179,0.95137,0.95165,0.83702,0.83742,0.83686,0.83729,1.03792,1.03811,1.03784,1.03803,0.91329,0.91333,0.91312,0.91328,98.334,98.337,98.297,98.306,1.3534
1.59875,1.59991,1.59861,1.59976,1.35146,1.35361,1.35131,1.3534,0.95168,0.95287,0.95163,0.95243,0.8373,0.83788,0.83657,0.83788,1.03802,1.03833,1.03764,1.03764,0.91325,0.91347,0.9118,0.91191,98.312,98.362,97.994,98.089,1.35226
1.59978,1.59999,1.59949,1.5996,1.35332,1.35344,1.35226,1.35226,0.95254,0.95319,0.95216,0.9525,0.83776,0.83839,0.83641,0.83641,1.03768,1.03827,1.03754,1.03827,0.91193,0.91264,0.91178,0.91236,98.086,98.236,98.04,98.176,1.35287
1.5996,1.59986,1.59953,1.59965,1.35228,1.35297,1.35228,1.35287,0.95249,0.95312,0.95244,0.95281,0.83581,0.83842,0.83581,0.83767,1.0382,1.0382,1.03748,1.03768,0.91232,0.91239,0.91182,0.91203,98.176,98.232,98.157,98.211,1.35231
1.59984,1.5999,1.59949,1.59963,1.35287,1.3531,1.35212,1.35231,0.95281,0.9532,0.95269,0.95304,0.83789,0.83829,0.8374,0.83749,1.03767,1.03768,1.03747,1.03755,0.91202,0.91251,0.91177,0.9122,98.21,98.243,98.183,98.207,1.35226
1.59965,1.59969,1.599,1.59941,1.35234,1.35241,1.35213,1.35226,0.95311,0.95324,0.95283,0.9529,0.83749,0.83764,0.83699,0.83732,1.03755,1.03762,1.03746,1.03756,0.91219,0.91253,0.91219,0.91237,98.207,98.229,98.201,98.212,1.35256
1.59941,1.59975,1.59936,1.59965,1.35228,1.35309,1.35226,1.35256,0.9528,0.95323,0.9528,0.95308,0.83732,0.83994,0.83732,0.83964,1.03756,1.0376,1.03719,1.03757,0.91239,0.91256,0.91201,0.91237,98.217,98.252,98.191,98.21,1.35248
1.59964,1.59979,1.59935,1.59935,1.35254,1.35278,1.35244,1.35248,0.95307,0.95307,0.95281,0.95285,0.83963,0.83963,0.83918,0.83948,1.03757,1.03764,1.03743,1.03745,0.91244,0.91254,0.91208,0.9123,98.215,98.275,98.202,98.264,1.35252
