date,time,open,maximum,minimum,close,volume
15.10.2013,19:45,1.59768,1.59801,1.59746,1.59799,289
15.10.2013,20:00,1.59798,1.59809,1.59755,1.59789,260
15.10.2013,20:15,1.5979,1.59973,1.59778,1.59942,545
15.10.2013,20:30,1.59953,1.59991,1.59864,1.59936,688
15.10.2013,20:45,1.59936,1.59993,1.59921,1.59943,607
15.10.2013,21:00,1.5994,1.59957,1.59899,1.59936,337
15.10.2013,21:15,1.59936,1.59962,1.59918,1.59944,262
15.10.2013,21:30,1.59944,1.59973,1.59938,1.59955,298
15.10.2013,21:45,1.59954,1.59962,1.59908,1.59912,229
15.10.2013,22:00,1.59913,1.5994,1.59908,1.59916,130
15.10.2013,22:15,1.59915,1.59915,1.59867,1.59877,168
15.10.2013,22:30,1.59875,1.59991,1.59861,1.59976,225
15.10.2013,22:45,1.59978,1.59999,1.59949,1.5996,424
15.10.2013,23:00,1.5996,1.59986,1.59953,1.59965,162
15.10.2013,23:15,1.59984,1.5999,1.59949,1.59963,145
15.10.2013,23:30,1.59965,1.59969,1.599,1.59941,374
15.10.2013,23:45,1.59941,1.59975,1.59936,1.59965,243
16.10.2013,0:00,1.59964,1.59979,1.59935,1.59935,299
16.10.2013,0:15,1.59934,1.59941,1.59916,1.59923,179
16.10.2013,0:30,1.59923,1.59925,1.59907,1.59914,137
16.10.2013,0:45,1.59912,1.59926,1.59908,1.59922,154
16.10.2013,1:00,1.59922,1.59937,1.59917,1.59918,111
16.10.2013,1:15,1.59917,1.59922,1.59891,1.59891,140
16.10.2013,1:30,1.59894,1.59915,1.59874,1.59878,233
16.10.2013,1:45,1.59878,1.59898,1.59782,1.59826,398
16.10.2013,2:00,1.59831,1.59858,1.59806,1.59811,410
16.10.2013,2:15,1.59809,1.59853,1.59797,1.59813,257
16.10.2013,2:30,1.59813,1.59821,1.59708,1.59719,276
16.10.2013,2:45,1.59713,1.59748,1.59673,1.59737,256
16.10.2013,3:00,1.59738,1.59757,1.59711,1.5975,180
16.10.2013,3:15,1.59747,1.59755,1.59673,1.59676,232
16.10.2013,3:30,1.59671,1.59691,1.59655,1.59687,172
16.10.2013,3:45,1.59686,1.59714,1.59678,1.59708,217
16.10.2013,4:00,1.59706,1.59737,1.59689,1.59734,208
16.10.2013,4:15,1.59733,1.59846,1.59732,1.59812,267
16.10.2013,4:30,1.59812,1.59839,1.59767,1.59779,330
16.10.2013,4:45,1.59775,1.59814,1.59758,1.59771,207
16.10.2013,5:00,1.59777,1.59786,1.59723,1.59743,236
16.10.2013,5:15,1.59744,1.59776,1.59674,1.59698,277
16.10.2013,5:30,1.597,1.59727,1.5967,1.59705,184
16.10.2013,5:45,1.59706,1.59717,1.59676,1.59684,133
16.10.2013,6:00,1.59681,1.59704,1.59679,1.59703,122
16.10.2013,6:15,1.597,1.59705,1.59679,1.59691,105
16.10.2013,6:30,1.59688,1.59712,1.59667,1.59708,181
16.10.2013,6:45,1.59706,1.5974,1.59706,1.59739,188
16.10.2013,7:00,1.59739,1.59759,1.59726,1.59748,185
16.10.2013,7:15,1.59747,1.59763,1.59736,1.59751,189
16.10.2013,7:30,1.59752,1.59776,1.5973,1.59746,186
16.10.2013,7:45,1.59746,1.59761,1.59698,1.59759,225
16.10.2013,8:00,1.59755,1.5985,1.59753,1.5985,313
16.10.2013,8:15,1.59849,1.59923,1.59799,1.59902,344
16.10.2013,8:30,1.59902,1.59951,1.59887,1.59923,292
16.10.2013,8:45,1.59925,1.5993,1.59876,1.59876,295
16.10.2013,9:00,1.5988,1.59977,1.59878,1.59953,358
16.10.2013,9:15,1.5996,1.59985,1.59903,1.59924,381
16.10.2013,9:30,1.59923,1.59947,1.59885,1.5991,399
16.10.2013,9:45,1.59911,1.59996,1.59911,1.59976,397
16.10.2013,10:00,1.59975,1.6033,1.59974,1.60219,747
16.10.2013,10:15,1.60222,1.6035,1.60222,1.60309,787
16.10.2013,10:30,1.60306,1.60578,1.60079,1.60185,991
