date,time,open,maximum,minimum,close,volume
12.05.1993,0:00,1.537,1.5445,1.529,1.5338,2781
13.05.1993,0:00,1.5328,1.536,1.518,1.5225,2571
14.05.1993,0:00,1.5228,1.5415,1.52,1.5387,2711
17.05.1993,0:00,1.5365,1.546,1.5309,1.5355,2921
18.05.1993,0:00,1.535,1.538,1.5237,1.5365,2711
19.05.1993,0:00,1.535,1.5482,1.5328,1.5432,2261
20.05.1993,0:00,1.5425,1.5603,1.5383,1.5565,3001
21.05.1993,0:00,1.5548,1.5592,1.539,1.5425,2811
24.05.1993,0:00,1.54,1.545,1.5289,1.5365,2871
25.05.1993,0:00,1.5385,1.547,1.5345,1.542,2151
26.05.1993,0:00,1.542,1.5505,1.541,1.5472,1381
27.05.1993,0:00,1.5453,1.565,1.5425,1.562,2831
28.05.1993,0:00,1.561,1.568,1.5535,1.5607,2871
31.05.1993,0:00,1.5605,1.563,1.556,1.561,1351
01.06.1993,0:00,1.5613,1.567,1.546,1.5555,3621
02.06.1993,0:00,1.5544,1.556,1.5364,1.54,2481
03.06.1993,0:00,1.5403,1.5501,1.537,1.5501,1641
04.06.1993,0:00,1.549,1.5505,1.506,1.5085,4851
07.06.1993,0:00,1.5063,1.5268,1.506,1.5268,2111
08.06.1993,0:00,1.5253,1.5265,1.5135,1.5205,2121
09.06.1993,0:00,1.5195,1.527,1.5069,1.5152,3591
10.06.1993,0:00,1.5137,1.5325,1.507,1.5305,3421
11.06.1993,0:00,1.5293,1.5405,1.5185,1.5215,3621
14.06.1993,0:00,1.519,1.533,1.519,1.5285,1851
15.06.1993,0:00,1.5275,1.5355,1.514,1.5165,3201
16.06.1993,0:00,1.5155,1.52,1.498,1.5062,3471
17.06.1993,0:00,1.5055,1.5187,1.4985,1.514,3191
18.06.1993,0:00,1.5142,1.517,1.492,1.4975,3331
21.06.1993,0:00,1.494,1.498,1.4799,1.4885,3071
22.06.1993,0:00,1.4883,1.4905,1.474,1.4778,2251
23.06.1993,0:00,1.478,1.481,1.467,1.4735,2351
24.06.1993,0:00,1.472,1.4761,1.4637,1.469,2181
25.06.1993,0:00,1.4683,1.4835,1.467,1.4762,2511
28.06.1993,0:00,1.4785,1.4975,1.475,1.4959,2761
29.06.1993,0:00,1.4954,1.5155,1.4894,1.5123,3531
30.06.1993,0:00,1.512,1.5135,1.4885,1.4908,2881
01.07.1993,0:00,1.4898,1.5175,1.4867,1.515,3641
02.07.1993,0:00,1.515,1.5255,1.5055,1.507,3201
05.07.1993,0:00,1.508,1.5145,1.5045,1.5105,1751
06.07.1993,0:00,1.5095,1.513,1.5015,1.504,1751
07.07.1993,0:00,1.503,1.5077,1.49,1.4955,2791
08.07.1993,0:00,1.4942,1.4995,1.489,1.497,1821
09.07.1993,0:00,1.495,1.499,1.4765,1.48,3001
12.07.1993,0:00,1.484,1.4875,1.472,1.479,2601
13.07.1993,0:00,1.478,1.4995,1.4735,1.497,3301
14.07.1993,0:00,1.4978,1.5052,1.4885,1.5025,2871
15.07.1993,0:00,1.5025,1.5035,1.4845,1.489,2451
